seed,reg_lambda,reg_alpha,mcs,train_ic,oos_ic,ic_gap,ic_gap_ratio,oos_ic_ir
0,0.3,0.2,30,0.293463936379483,0.11833091852390556,0.17513301785557742,0.5967786707158118,4.710817518109461
0,0.3,0.2,50,0.26460331558577754,0.12065631571765804,0.14394699986811949,0.5440105674770186,6.502872904353143
0,0.3,0.2,65,0.26185049633556157,0.12411845599371792,0.13773204034184366,0.5259949561651392,9.72222866889092
0,0.3,0.2,80,0.24744074823075257,0.12338226918974937,0.1240584790410032,0.5013664076270559,6.821090257271997
0,0.3,0.3,30,0.29706730512099877,0.11292558599955187,0.1841417191214469,0.6198653165364123,4.802718782346682
0,0.3,0.3,50,0.2587877621838188,0.11838816994197505,0.14039959224184378,0.5425279428094322,5.695061583496439
0,0.3,0.3,65,0.25746744464995436,0.12477743973477215,0.1326900049151822,0.5153661469533901,7.303188961560587
0,0.3,0.3,80,0.25751327965312637,0.12225510284365637,0.13525817680947,0.5252473852675267,7.574819059963455
0,0.3,0.5,30,0.28038780582777256,0.11617474228721547,0.1642130635405571,0.5856640700039021,5.329859701100722
0,0.3,0.5,50,0.2608269558736665,0.11830731296717656,0.14251964290648994,0.5464145468749803,5.4567183254540526
0,0.3,0.5,65,0.261722569553158,0.1228194860187148,0.1389030835344432,0.5307264244409416,6.713779786794757
0,0.3,0.5,80,0.24286300229780516,0.12321643525662548,0.11964656704117968,0.49265044864456475,7.357929298582341
0,0.3,0.8,30,0.30385372894374985,0.11454605999393679,0.18930766894981305,0.6230223654252344,4.164546557396982
0,0.3,0.8,50,0.25681379942949445,0.11785176969883311,0.13896202973066135,0.541100322643729,6.551242633166884
0,0.3,0.8,65,0.26358668130633356,0.12395591060774598,0.1396307706985876,0.5297337862693918,7.869265574436193
0,0.3,0.8,80,0.24684750349989432,0.12241019643195725,0.12443730706793707,0.5041059978473322,6.697034253312047
0,0.3,1.0,30,0.2870900255649621,0.11432090028468041,0.1727691252802817,0.6017942453426961,5.444583111671599
0,0.3,1.0,50,0.2559660261716962,0.11806674313416395,0.1378992830375323,0.5387405707702497,5.560096012642107
0,0.3,1.0,65,0.258758826249352,0.12209795395557355,0.13666087229377843,0.5281399451166381,7.955293912957788
0,0.3,1.0,80,0.2556757224666681,0.1262285477944644,0.12944717467220368,0.5062943537358321,7.602327007382324
0,0.3,1.5,30,0.28768784403710157,0.11400129683727345,0.17368654719982812,0.6037326595468827,7.010237359091753
0,0.3,1.5,50,0.2822801167333847,0.11684683731609916,0.16543327941728556,0.5860606879851133,5.906710851741215
0,0.3,1.5,65,0.27600808467486376,0.12276477113872075,0.153243313536143,0.5552131334002876,8.274780415340324
0,0.3,1.5,80,0.24701196078756352,0.12371123168192329,0.12330072910564023,0.4991690633624092,7.354539806800375
0,0.5,0.2,30,0.2899680122290696,0.1159336420888093,0.1740343701402603,0.6001847196951373,4.639806362414406
0,0.5,0.2,50,0.2610611385963739,0.11871041351227199,0.14235072508410193,0.5452773470975705,6.532658510081958
0,0.5,0.2,65,0.255816559767641,0.12373250765535733,0.1320840521122837,0.5163233069518879,7.997423786587658
0,0.5,0.2,80,0.2529570543069536,0.12289688918525947,0.1300601651216941,0.514159075255008,7.426984240582673
0,0.5,0.3,30,0.29678848806717373,0.1167588013566827,0.18002968671049102,0.6065925531105638,5.224010616585997
0,0.5,0.3,50,0.25719614155046244,0.1178596594720219,0.13933648207844054,0.5417518367051491,5.52544000161647
0,0.5,0.3,65,0.25440109502046643,0.12408846081212513,0.1303126342083413,0.5122329925421811,7.444454830797565
0,0.5,0.3,80,0.25043509719920054,0.12482765820820282,0.12560743899099772,0.501556852037745,7.644088705216872
0,0.5,0.5,30,0.27770117241916703,0.1155086622549399,0.16219251016422714,0.5840541066186459,4.774594993924407
0,0.5,0.5,50,0.2523366053699999,0.1175341470049295,0.1348024583650704,0.5342168179183129,5.395975534520754
0,0.5,0.5,65,0.2679761530259262,0.12637341153470186,0.14160274149122434,0.5284154574661893,7.092588160566537
0,0.5,0.5,80,0.2564700129184149,0.12321641935633701,0.13325359356207792,0.5195679293877795,7.285522709832305
0,0.5,0.8,30,0.29597007456922936,0.11625571000591947,0.1797143645633099,0.6072045115536622,5.5919081580203365
0,0.5,0.8,50,0.25749240745190705,0.11859872759818253,0.13889367985372453,0.5394088362767212,6.599251442179221
0,0.5,0.8,65,0.2542000717836378,0.12305254997134862,0.13114752181228917,0.5159224420830034,8.019440551631995
